employee_id,year,violations,pay_rate,department,Supervisor,violation_cost
9424,2022,18,23.0,PROCUREMENT,Christopher,414.0
9424,2023,18,23.5,PROCUREMENT,Christopher,423.0
9424,2024,13,24.0,PROCUREMENT,Christopher,312.0
9863,2021,27,18.5,RESEARCH AND DEVELOPMENT,Jennifer,499.5
9863,2022,32,19.0,RESEARCH AND DEVELOPMENT,Jennifer,608.0
9863,2023,0,19.5,RESEARCH AND DEVELOPMENT,Jennifer,0.0
9863,2024,0,20.0,RESEARCH AND DEVELOPMENT,Jennifer,0.0
9965,2021,33,16.0,WAREHOUSE,Richard,528.0
9965,2022,77,16.5,WAREHOUSE,Richard,1270.5
9965,2023,26,17.0,WAREHOUSE,Richard,442.0
9965,2024,16,17.5,WAREHOUSE,Richard,280.0
